Customer Key,Original Name,Master Customer Name,Industrial Group,Industry Detail,NAICS,Method,Status,Confidence,Rationale,Support Category,Company Website,Source
CN992198SERV_GP,Dollar General,Dollar General,Commercial Services,Discount retail,4523,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
TN991806SERV_GP,Dollywood,Dollywood,Commercial Services,Theme park,7131,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
TN992051SERV_GP,Dollywoods Dream More Resort,Dollywoods Dream More Resort,Commercial Services,Hospitality,72,Rule-Based,,High,Matched hospitality keyword; Deterministic keyword/pattern match (evidence: 'Dollywoods Dream More Resort'),Hospitality,,SERV_GP
IN990330SERV_GP,Domestic Uniform Rental,Domestic Uniform Rental,Commercial Services,Uniform Rental,812332,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,domesticuniform.com,SERV_GP
DOMINICAN FATHEMECH_GP,Dominican Fathers Province Of St Joseph,Dominican Fathers Province of St Joseph,Non-Profit / Religious,Religious Organization,813110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,opeast.org,MECH_GP
CN950215SERV_GP,"Dominium, Inc.",Dominium,Commercial Real Estate,Multifamily developer/property,5311,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),,,SERV_GP
DONALDSONMECH_GP,"Donaldson Company, Inc.",Donaldson,Manufacturing,Filtration Systems Mfg,333999,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,donaldson.com,MECH_GP
LV990520SERV_GP,Dorman Products,Dorman Products,Manufacturing,Automotive Parts Mfg,336390,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,dormanproducts.com,SERV_GP
CN991944SERV_GP,Doug Newberry,Doug Newberry,Individual / Misc,Individual,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN991958SERV_GP,Downtime Rebuild,Downtime Rebuild,Manufacturing,Industrial Equipment Repair & Rebuild Services,8113,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,downtimerebuild.com,SERV_GP
NV15057SERV_GP,Downtown Property Solutions Llc,Downtown Property Solutions,Commercial Real Estate,Property Ownership,531,Heuristic,,Low,Matched weak property-ownership signal; Weak-signal best guess (evidence: 'Downtown Property Solutions Llc'),,,SERV_GP
TN992205SERV_GP,Downtown West Village Ii Owners Association Inc C/O Blue Ridge R,Downtown West Village II Owners Association,Commercial Real Estate,HOA/owners association,8139,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
DY990985SERV_GP,Dpsg,Dpsg,Manufacturing,Beverage Manufacturing,312111,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,keurigdrpepper.com,SERV_GP
LV990424SERV_GP,Dr Eli Karam  Phd,Dr Eli Karam Phd,Healthcare / Senior Living,Therapy Practice,621330,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,elikaram.com,SERV_GP
DR NEWBYMECH_GP,Dr Newby,Dr Newby,Healthcare / Senior Living,Orthodontist,621210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,newbyorthodontics.com,MECH_GP
CN991288SERV_GP,Dr. Monica Newby,Dr Monica Newby,Healthcare / Senior Living,Orthodontist,621210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,newbyorthodontics.com,SERV_GP
LV990474SERV_GP,Dream Logistics,Dream Logistics,Commercial Services,Logistics,488510,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
DRKMECH_GP,Drk Construction Services,Drk Construction Services,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Drk Construction Services'),,,MECH_GP
DRY CREEK WWTPMECH_GP,Dry Creek Waste Water Treatment,Dry Creek Waste Water Treatment,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Dry Creek Waste Water Treatment'),,,MECH_GP
TN992069SERV_GP,Dsh & Associates Llc,Dsh and Associates,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Dsh & Associates Llc'),,,SERV_GP
TN992200SERV_GP,Dtwp C/O Nai,Dtwp,Commercial Real Estate,Property entity (coded),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
TN992195SERV_GP,Dtwph2 C/O Nai,DTWPH2,Commercial Real Estate,Property entity (coded),5311,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
TN992130SERV_GP,Duck Donuts Knoxville,Duck Donuts Knoxville,Commercial Services,Restaurant/food service,7225,Entity Inference,Final,High,Analyst-approved override (method: Entity Inference),Hospitality,,SERV_GP
DUGANMECH_GP,Dugan & Meyers,Dugan and Meyers,Construction,Construction Contractor,236220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,dugan-meyers.com,MECH_GP
DUKE WEEKSMECH_GP,Duke Construction L.P.,Duke Construction LP,Construction,,23,Rule-Based,,High,Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Duke Construction L.P.'),,,MECH_GP
DUKE REALTYMECH_GP,Duke Realty,Duke Realty,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Duke Realty'),,,MECH_GP
DUNNHUMBYMECH_GP,Dunnhumby,Dunnhumby,Commercial Services,Data Science & Marketing,541910,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,dunnhumby.com,MECH_GP
DURODYNEMECH_GP,Duro Dyne Corp,Duro Dyne,Manufacturing,HVAC Accessories Mfg,332322,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,durodyne.com,MECH_GP
E BEAMMECH_GP,E Beam,E Beam,Manufacturing,Electron Beam Processing,332811,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
TN991889SERV_GP,E&E Manufacturing Of Tn Llc,E and E Manufacturing of TN,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'E&E Manufacturing Of Tn Llc'),,,SERV_GP
CN992218SERV_GP,E.C. Shaw,Ec Shaw,Commercial Services,Prepress & Platemaking,323120,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ecshaw.com,SERV_GP
LX990411SERV_GP,E.D. Bullard Co.,Ed Bullard,Manufacturing,Safety Equipment Mfg,339113,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,bullard.com,SERV_GP
EGCMECH_GP,E.G.C. Corporation,Egc,Manufacturing,Industrial Seals/Heaters,339991,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,egcgraphite.com,MECH_GP
TN992083SERV_GP,Eagle Bend Manufacturing,Eagle Bend Manufacturing,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Eagle Bend Manufacturing'),,,SERV_GP
CN992004SERV_GP,Eagle Composites,Eagle Composites,Manufacturing,Aerospace Composites Mfg,336413,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
DY991089SERV_GP,Eagle Dayton Properties Llc,Eagle Dayton Properties,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Eagle Dayton Properties Llc'),,,SERV_GP
EAGLE REALTYMECH_GP,Eagle Realty Group,Eagle Realty Group,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Eagle Realty Group'),,,MECH_GP
IN990051SERV_GP,Eagle Realty Group,Eagle Realty Group,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Eagle Realty Group'),,,SERV_GP
TN200305SERV_GP,East Tennessee Public Television,East Tennessee Public Television,Municipal / Local Government,Public broadcasting,5151,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
DY991067SERV_GP,Eastway Supplies Inc,Eastway Supplies,Commercial Services,Plumbing Distribution,423720,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eastwaysupplies.com,SERV_GP
EBAYMECH_GP,"Ebay Enterprise, Inc",Ebay Enterprise,Commercial Services,E-commerce Services,541511,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
EBY BROWNMECH_GP,Eby Brown,Eby Brown,Commercial Services,Wholesale Convenience Dist.,424410,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eby-brown.com,MECH_GP
IN990145SERV_GP,Eby Brown,Eby Brown,Commercial Services,Wholesale Convenience Dist.,424410,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eby-brown.com,SERV_GP
IN990499SERV_GP,Echo Electric,Echo Electric,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Echo Electric'),,,SERV_GP
WV990308SERV_GP,Echo Power Llc,Echo Power,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Echo Power Llc'),,,SERV_GP
LX990482SERV_GP,Ecl Corbin Llc Dba The Mint Gaming Hall,Ecl Corbin Dba the Mint Gaming Hall,Commercial Services,Casino & Gaming,713210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,themintgaming.com,SERV_GP
ECO TEC ENGINEEMECH_GP,Eco Tec Engineering,Eco Tec Engineering,Construction,Mechanical / Energy Engineering Services,5413,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ecotecengineering.com,MECH_GP
TN991689SERV_GP,Ecs Central Pllc - Knoxville,Ecs Central PLLC Knoxville,Commercial Services,Food distribution,424490,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN992016SERV_GP,Edfinancial Services - Billing,Edfinancial Services Billing,Financial Services,Student Loan Servicing,522390,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,edfinancial.com,SERV_GP
CN991253SERV_GP,Edison State Community College,Edison State Community College,University / College,,611,Rule-Based,,High,Matched education keyword; Deterministic keyword/pattern match (evidence: 'Edison State Community College'),,,SERV_GP
CN990656SERV_GP,Ei Ceramics Llc,Ei Ceramics,Manufacturing,Ceramic Manufacturing,327110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eiceramics.com,SERV_GP
TN992078SERV_GP,El Tequlia Bar & Grill,El Tequlia Bar and Grill,Commercial Services,Hospitality,72,Rule-Based,,High,Matched hospitality keyword; Deterministic keyword/pattern match (evidence: 'El Tequlia Bar & Grill'),Hospitality,,SERV_GP
TN991272SERV_GP,Electric Power Research Institute,Electric Power Research Institute,Utilities,,22,Rule-Based,,High,Matched utility keyword; Deterministic keyword/pattern match (evidence: 'Electric Power Research Institute'),,,SERV_GP
ELEMENT MATLMECH_GP,Element Materials Technology,Element Materials Technology,Commercial Services,Materials Testing Labs,541380,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,element.com,MECH_GP
ELITAIREMECH_GP,Elitaire,Elitaire,Commercial Services,HVAC Equipment Rep,423730,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,elitaire.com,MECH_GP
CN992303SERV_GP,Ellis Road Industirial Llc C/O Cbre,CBRE,Commercial Real Estate,Property Management / Brokerage,5313,Entity Inference,,Medium,Matched known entity 'CBRE'; Known/recognized entity mapping (evidence: 'CBRE'),,,SERV_GP
IN990093SERV_GP,Ellison Technologies,Ellison Technologies,Commercial Services,Machine Tool Distributor,423830,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ellisontechnologies.com,SERV_GP
NV00111SERV_GP,Elmington Capital Group,Elmington Capital Group,Commercial Real Estate,Real Estate Investment,531110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,elmington.com,SERV_GP
WV990264SERV_GP,Embassy Suites Charleston,Embassy Suites Charleston,Commercial Services,Hotel,721110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,hilton.com,SERV_GP
EMB001SERV_GP,Embraer Aircraft Maintenance,Embraer Aircraft Maintenance,Commercial Services,Aircraft MRO,488190,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,embraer.com,SERV_GP
EMCORMECH_GP,Emcor Facility Services,Emcor Facility Services,Commercial Services,Facility Management,561210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,emcorfacilities.com,MECH_GP
IN200066SERV_GP,Emergency Radio Services,Emergency Radio Services,Commercial Services,Comm Systems,517312,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,erswireless.com,SERV_GP
NV00141SERV_GP,Emerson Hermetic Motor,Emerson Hermetic Motor,Manufacturing,Electric Motor Mfg,335312,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,emerson.com,SERV_GP
EMILY LICHMECH_GP,"Emily Lichtenberg Construction, Inc.",Emily Lichtenberg Construction,Construction,,23,Rule-Based,,High,"Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Emily Lichtenberg Construction, Inc.')",,,MECH_GP
LICHTENBERGMECH_GP,"Emily Lichtenberg Construction, Inc.",Emily Lichtenberg Construction,Construction,,23,Rule-Based,,High,"Matched construction keyword; Deterministic keyword/pattern match (evidence: 'Emily Lichtenberg Construction, Inc.')",,,MECH_GP
LV990458SERV_GP,Emj Corporation,Emj,Manufacturing,Metals Service Center,423510,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,emjmetals.com,SERV_GP
CN992209SERV_GP,Employers Resource Association,Employers Resource Association,Non-Profit / Religious,HR Association,813910,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,hrxperts.org,SERV_GP
CN991893SERV_GP,Enable Injections,Enable Injections,Manufacturing,Medical Device Mfg,339112,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,enableinjections.com,SERV_GP
ENABLEMECH_GP,Enable Medical,Enable Medical,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Enable Medical'),,,MECH_GP
WV200401SERV_GP,Encompass Health Corporation,Encompass Health,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Encompass Health Corporation'),,,SERV_GP
ENDRESS HAUSERMECH_GP,"Endress & Hauser, Inc.",Endress and Hauser,Manufacturing,Industrial Instrumentation,334513,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,endress.com,MECH_GP
IN980005SERV_GP,Endress + Hauser,Endress and Hauser,Manufacturing,Industrial Instrumentation,334513,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,endress.com,SERV_GP
ENERGY OPTIMIZEMECH_GP,"Energy Optimizers, Usa",Energy Optimizers USA,Construction,Energy Efficiency Contractor,238220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,energyoptusa.com,MECH_GP
TN950321SERV_GP,"Energy Solutions/Duratek, Inc.",Energy Solutionsduratek,Energy Services,Nuclear Waste Services,562211,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,energysolutions.com,SERV_GP
ENERGY SYSTEMSMECH_GP,Energy Systems Group,Energy Systems Group,Energy Services,Energy Service Company (ESCO),541330,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,energysystemsgroup.com,MECH_GP
TN992184SERV_GP,"Engert, Llc",Engert,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Engert, Llc')",,,SERV_GP
DY990983SERV_GP,Engineers Club Of Dayton,Engineers Club of Dayton,Non-Profit / Religious,Membership org,8134,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
LV990462SERV_GP,Engineers Of Tomorrow Ky 2783,Engineers of Tomorrow KY 2783,Non-Profit / Religious,Youth/education nonprofit,8134,Heuristic,Final,High,Analyst-approved override (method: Heuristic),,,SERV_GP
ENPROTECMECH_GP,Enprotec,Enprotec,Energy Services,Mineral Processing Solutions,213113,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,enprotec.com,MECH_GP
TN992179SERV_GP,Enrichment Federal Credit Union,Enrichment Federal Credit Union,Financial Services,,52,Rule-Based,,High,Matched financial keyword; Deterministic keyword/pattern match (evidence: 'Enrichment Federal Credit Union'),,,SERV_GP
EAPMECH_GP,Environmental Air Products,Environmental Air Products,Commercial Services,HVAC Equipment Rep,423730,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eapnet.com,MECH_GP
CN991834SERV_GP,Envisionaire,Envisionaire,Commercial Services,Design Studio,541430,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,envisionaire.com,SERV_GP
CN991841SERV_GP,Enzo Building & Design,Enzo Building and Design,Construction,General Contractor,236118,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
ENZOMECH_GP,"Enzo Building & Design, Llc",Enzo Building and Design,Construction,General Contractor,236118,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
LX990379SERV_GP,Enzo Building And Design,Enzo Building and Design,Construction,General Contractor,236118,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
TN992178SERV_GP,Ephant Hospitality Holiday Inn,Ephant Hospitality Holiday Inn,Commercial Services,Hospitality,72,Rule-Based,,High,Matched hospitality keyword; Deterministic keyword/pattern match (evidence: 'Ephant Hospitality Holiday Inn'),Hospitality,,SERV_GP
LX990437SERV_GP,Ephraim Mcdowell Heath Inc,Ephraim Mcdowell Heath,Healthcare / Senior Living,Hospital System,622110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,emhealth.org,SERV_GP
TN991696SERV_GP,Episcopal School Of Knoxville,Episcopal School of Knoxville,Commercial Services,Food distribution,424490,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
NV00131SERV_GP,Episcopal School Of Nashville,Episcopal School of Nashville,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Episcopal School Of Nashville'),,,SERV_GP
IN990360SERV_GP,Epson America,Epson America,Manufacturing,Electronics & Printers,334118,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,epson.com,SERV_GP
WV990222SERV_GP,Eqm Gathering Opco Llc,Eqm Gathering Opco,Energy Services,Natural Gas Midstream,486210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,equitransmidstream.com,SERV_GP
WV990299SERV_GP,Eqt,Eqt,Energy Services,Natural Gas Production,211130,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eqt.com,SERV_GP
CN990126SERV_GP,"Equipment Depot Ohio, Inc.",Equipment Depot Ohio,Commercial Services,Equipment Rental,532490,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eqdepot.com,SERV_GP
WV990289SERV_GP,Equitrans Midstream,Equitrans Midstream,Energy Services,Natural Gas Transmission,486210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,equitransmidstream.com,SERV_GP
WV990131SERV_GP,Equitrans Midstream Corporation,Equitrans Midstream,Energy Services,Natural Gas Transmission,486210,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,equitransmidstream.com,SERV_GP
WV990223SERV_GP,"Equitrans, Lp",Equitrans LP,Individual / Misc,,,Rule-Based,,High,"Matched personal-name pattern; Deterministic keyword/pattern match (evidence: 'Equitrans, Lp')",,,SERV_GP
EQUITY GROUP 4MECH_GP,"Equity Group Four, Llc",Equity Group Four,Commercial Real Estate,Real Estate,531110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,MECH_GP
DY991035SERV_GP,Equity Llc,Equity,Commercial Real Estate,Real Estate,531110,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
IN990448SERV_GP,Equivis Nora Llc,Equivis Nora,Commercial Real Estate,Industrial Property Ownership & Management,531,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,equivis.com,SERV_GP
WV990297SERV_GP,Eric Panner,Eric Panner,Individual / Misc,Individual,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN992200SERV_GP,Erm Real Estate,Erm Real Estate,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Erm Real Estate'),,,SERV_GP
ESI CONSTRUCTORMECH_GP,Esi Constructors,Esi Constructors,Construction,Construction,236220,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,esiconstruction.com,MECH_GP
TN992125SERV_GP,Eskola Llc,Eskola,Construction,Roofing Contractor,238160,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eskola.com,SERV_GP
TN992190SERV_GP,Espaces Knoxville,Espaces Knoxville,Commercial Services,Food distribution,424490,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
LX990377SERV_GP,Essity Operations Wausau Llc - Us31Ha,Essity Operations Wausau US31HA,Manufacturing,Paper Products Mfg,322121,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,essity.com,SERV_GP
CN992130SERV_GP,Ethos Laboratories,Ethos Laboratories,Healthcare / Senior Living,Clinical Laboratory,621511,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ethos-labs.com,SERV_GP
DY991085SERV_GP,Eubel Brady & Suttman,Eubel Brady and Suttman,Financial Services,Asset Management,523930,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,ebsinvests.com,SERV_GP
DY991170SERV_GP,European Wax Centers,European Wax Centers,Commercial Services,Personal Care Services,812199,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,waxcenter.com,SERV_GP
EUROSTAMPAMECH_GP,Eurostampa,Eurostampa,Manufacturing,Label Manufacturing,323111,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,eurostampa.com,MECH_GP
CN992273SERV_GP,Ev Bishoff C/O Princeton Hill Properties Llc,Ev Bishoff,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Ev Bishoff C/O Princeton Hill Properties Llc'),,,SERV_GP
DY991069SERV_GP,Evans Energy,Evans Energy,Energy Services,Energy Services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
CN991595SERV_GP,Evans Energy Llc,Evans Energy,Energy Services,Energy Services,,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,,SERV_GP
DY991075SERV_GP,Evenflo Co Inc,Evenflo,Manufacturing,Juvenile Products Mfg,339999,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,evenflo.com,SERV_GP
EXCALIBUR DEVMECH_GP,Excalibur Development Corp,Excalibur Development,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Excalibur Development Corp'),,,MECH_GP
CN992313SERV_GP,Excel Clips Inc,Excel Clips,Manufacturing,Industrial Fasteners & Metal Components,332,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,excelclips.com,SERV_GP
IN990356SERV_GP,"Exchange Right Net Leased Portfolio 29, Dst",Exchange Right Net Leased Portfolio 29 Dst,Commercial Real Estate,Net lease DST portfolio,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
TN992082SERV_GP,Executive Hotel Management Dba Crowne Plaza Knoxville,Executive Hotel Management Dba Crowne Plaza Knoxville,Commercial Services,Food distribution,424490,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),Hospitality,,SERV_GP
IN990492SERV_GP,Exeter 1415 Collins Lp,Exeter 1415 Collins LP,Commercial Real Estate,Property LP,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990483SERV_GP,Exeter 5501-5599 West 74Th St (In),Exeter 55015599 West 74TH St IN,Commercial Real Estate,Property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990482SERV_GP,Exeter 7555 Woodland Llc,Exeter 7555 Woodland,Commercial Real Estate,Property entity,5311,Rule-Based,Final,High,Analyst-approved override (method: Rule-Based),,,SERV_GP
IN990294SERV_GP,"Exeter Property Group Advisors, L.P.",Exeter Property Group Advisors LP,Commercial Real Estate,Property Ownership,531,Heuristic,,Low,"Matched weak property-ownership signal; Weak-signal best guess (evidence: 'Exeter Property Group Advisors, L.P.')",,,SERV_GP
IN990263SERV_GP,Exeter Realty Group,Exeter Realty Group,Commercial Real Estate,,531,Rule-Based,,High,Matched real estate keyword; Deterministic keyword/pattern match (evidence: 'Exeter Realty Group'),,,SERV_GP
CN992131SERV_GP,Expression Manufacturing,Expression Manufacturing,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Expression Manufacturing'),,,SERV_GP
CN992138SERV_GP,Expression Manufacturing Llc,Expression Manufacturing,Manufacturing,,31-33,Rule-Based,,High,Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Expression Manufacturing'),,,SERV_GP
EXXCMECH_GP,Exxcel Contract Management Inc,Exxcel Contract Management,Commercial Services,Business Services,,Heuristic,,Low,Matched weak business-services signal; Weak-signal best guess (evidence: 'Exxcel Contract Management Inc'),,,MECH_GP
DY991055SERV_GP,E-Z Iron Serivce,Ez Iron Serivce,Construction,Structural Steel & Iron Services,2381,Heuristic + Location,Final,High,Analyst-approved override (method: Heuristic + Location),,,SERV_GP
EZE001SERV_GP,Ezell - Harding Christian School,Ezell Harding Christian School,Non-Profit / Religious,,81,Rule-Based,,High,Matched religious/non-profit keyword; Deterministic keyword/pattern match (evidence: 'Ezell - Harding Christian School'),,,SERV_GP
FAST NWOMECH_GP,F.A.S.T. Of Northwest Ohio,Fast of Northwest Ohio,Non-Profit / Religious,Workforce Development & Employment Services,813,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,fastnwo.org,MECH_GP
LX990277SERV_GP,Facility Gateway Corporation,Facility Gateway,Commercial Services,UPS & Data Center Services,811212,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,facilitygateway.com,SERV_GP
IN990274SERV_GP,"Fagerdala Packaging, Inc.",Fagerdala Packaging,Manufacturing,,31-33,Rule-Based,,High,"Matched manufacturing keyword; Deterministic keyword/pattern match (evidence: 'Fagerdala Packaging, Inc.')",,,SERV_GP
CN991941SERV_GP,"Fairfield Township, Oh",Fairfield Township OH,Municipal / Local Government,,92,Rule-Based,,High,"Matched county/agency keyword; Deterministic keyword/pattern match (evidence: 'Fairfield Township, Oh')",,,SERV_GP
NV15036SERV_GP,Fairlane Hotel,Fairlane Hotel,Commercial Services,Hospitality,72,Rule-Based,,High,Matched hospitality keyword; Deterministic keyword/pattern match (evidence: 'Fairlane Hotel'),Hospitality,,SERV_GP
CN992011SERV_GP,Family Nurturing,Family Nurturing,Non-Profit / Religious,Social Services Nonprofit,624190,AI Analyst Research,Final,High,Analyst-approved override (method: AI Analyst Research),,familynurture.org,SERV_GP
TN992029SERV_GP,Farragut Medical Llc,Farragut Medical,Healthcare / Senior Living,,62,Rule-Based,,High,Matched healthcare keyword; Deterministic keyword/pattern match (evidence: 'Farragut Medical Llc'),,,SERV_GP
